מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
1099,לד,"דרושי אדמו""ר הזקן 13*20.5 ס""מ. עט דף. מסומן""                               ""18 בדף המגן הקדמי:"" הביכול הלז הי' מונח במשכן אצל המופלא מ' שניאור במהור""ר מנחם נחום עבור שלוי[תי] ממנו כתבים בעת אשר עבר בד..הכותב דובער בלאאמו""ר..""",,,V,,,,V,,,,,,,,71
1100,לד,"""בראשית הקצר"". רשימות ע""ס בראשית בגכתי""ק אדמו""ר הצ""צ * 12*19 ס""מ. קצד דף.",,,,,V,,,,,,,,,,190
1101,לד,"דרושי לקוטי תורה על במדבר,דברים ושה""ש בגוכתי""ק והגהות אדמו""ר הצ""צ * 18.5*42.5 ס""מ. 842-331,3 דף. 363א,364ב: לאדי                     תקע 365ב: תורה מפי אדמו""ר נבג""מ בחורף לאדי                     תקעא 389א: תקפט 705ב: וויטעפסק                 תקעא 463א: ביחאב                    תקסג 612א: שמיני עצרת תקסד במפתח רשומים מאמרים שלא נכללו בכרך זה. הי' בירושלים תחת מס'             .8°2304",V,,,,V,,V,,,,,,,,522
1102,לד,"הגהות ללקוטי תורה במדבר בגוכתי""ק אדמו""ר הצ""צ * המפתח וציוני הדפים בכ""מ - בכתי""ק הרש""ב. 18*24.5 ס""מ. 350 דף. בסופו מונח ב' דפים בגוכי""ק הצ""צ - קיצור לד""ה צו את בנ""י (נדפס בלקו""ת פנחס עט,א). היה בירושלים במספר 2305",V,,,,V,,,,V,,,,,,342
1103,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * כמה בכת""י הר""ש סופר עם הגהות כי""ק מהר""ש. תרלה 16.5*22 ס""מ. (נכרכו גם דפים קטנים מזה). 407 דף.",V,,,,,V,V,,,,,,,,354
1104,לד,"""בראשית ב ח""א"". דרושים בגוכתי""ק אדמו""ר הצ""צ * 19*26 ס""מ. רי דף. צילומו מס'                          .852 ראה מס'                            .1035",V,,,,V,,V,,,,,,,,201
1105,לד,"דרושי אדמו""ר הצ""צ 19*25 ס""מ. צ דף. בעלים: אברהם שניאורסאן..קישינוב.",,,,,V,,V,,,,,,,,77
1106,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * תרלב מחה""פ ואילך.חלקו הראשון והמפתח במס' 1074 18*23 ס""מ. פג-רפט דף. (נכרכו בו דפים בני גודל שונה).",V,,,,,V,V,,,,,,,,174
1107,לד,"עלים נפרדים בגוכתי""ק אדמו""ר הצ""צ * בסופו גם כמה דפים משו""ת שלו",V,,,,V,,,,,,,,,,210
1108,לד,"עלים נפרדים בגוכתי""ק אדמו""ר מהר""ש *",V,,,,,V,,,,,,,,,117
1109,לד,"עלים נפרדים בגוכתי""ק אדמו""ר מהרש""ב *",V,,,,,,,,V,,,,,,78
1110,לד,"עלים נפרדים בגוכתי""ק אדמו""ר מהריי""צ * כולל: העתקות מאמרי אדמו""ר מהרש""ב קטעי יומן ומאמרי עצמו.",V,V,,,,,V,,V,V,,,,,101
1111,לד,עלים נפרדים - שונות.,,,,,,,,,,,,,,,124
1112,לד,"דרושים ורשימות על ספר בראשית בגוכתי""ק אדמו""ר הצ""צ * 17*24 ס""מ. 58 דף. 1א: הגהות על דרוש ש""ק פ' וישב תקסה צילומו מס'                          .854 הי' בירושלים תחת מס'             .8°2312 וישב ויחי",V,,,,V,,V,,,,,,,,62
1113,לד,"דרושים בגוכתי""ק אדמו""ר הצ""צ * 18*24 ס""מ. קסט דף. דפים א-ג - בכת""י מעתיק עם הגהות הצ""צ. בסוף דפים מז-מח נרשם בכתי""ק הצ""צ"" תורת אדמו""ר בשקלאב, כתבה ר' זלמן רוזעש"" מחולק לב' כרכים - המפתח בכ""א.",V,,,,V,,V,,,,,,,,62
1114,לד,"דרושים בגוכתי""ק אדמו""ר הצ""צ * 18*24 ס""מ. קסט דף. דפים א-ג - בכת""י מעתיק עם הגהות הצ""צ. בסוף דפים מז-מח נרשם בכתי""ק הצ""צ"" תורת אדמו""ר בשקלאב, כתבה ר' זלמן רוזעש"" מחולק לב' כרכים - המפתח בכ""א.",V,,,,V,,V,,,,,,,,105
1115,לד,"בוך תהלים בגוכתי""ק אדמו""ר הצ""צ * הנדפס בס' יהל אור 19*25 ס""מ. תיב דף. העתק מבוך זה במס'                  .1037",V,V,,,V,,,,,,,,,,428
1116,לד,"תקעא-תקעב -כ""נ בדף הגהות לבוך זה - בכתי""ק מהר""ש. דרושי אדמו""ר הזקן חלקו בכתי""ק אדמו""ר הצ""צ * פז דף. נסמן""                               .""28 צילומו: מס'                         .857",,,V,,V,V,V,,,,,,,,95
1117,לד,"תריד כ""נ ע""ג הכריכה בכתי""ק מהר""ש והם הנחות מאותה שנה ממאמרי אדמו""ר הצ""צ בגוכתי""ק אדמו""ר מהר""ש * 16.5*10.5 ס""מ. נג דף (חסר נד-סח) סימון הדפים בכתי""ק אדמו""ר מהריי""צ.",V,,,,V,V,V,,,V,,,,,52
1118,לד,"דרושים ואגרות קודש אדמו""ר הזקן כולל: תניא אגה""ת מהדו""ק. 10*16 ס""מ. רו דף. ע""ג הכריכה:"" להבין אמרי בינה"". מסומן""                              .""26",,,V,,,,V,,,,,,,,180
1119,לד,"דרושי אדמו""ר האמצעי כת""י מעתיקים שונים. 18.5*26 ס""מ. (1),שיז דף. קיט,א: שבת פ' קדושים האמליע                   תקפג קמא,א: פורים שקלאב                    תקפז מסומן: נו' 60 צילומו: מס'                         .851 נקרא: ואלה תולדות - ירושלים",,,,V,,,V,,,,,,,,290
1120,לד,"""                        תרכב תרכג תרכד תרכה חורף"".(כ""נ ע""ג הכריכה בכתי""ק מהר""ש).כולל דרושי אדמו""ר הצ""צ המפתח בתחילתו בכתי""ק מהר""ש. 11*17 ס""מ. (2), שיז דף.",,,,,V,V,V,,,,,,,,304
1121,לד,"צילום מאמרי אדמו""ר הצ""צ בכת""י מעתיק. מתחיל: להבין מ""ש בפע""ח בתחלתו בענין התפלה ומסיים להבין ענין שמחת חתן וכלה מספר"" ""66 ברשימת אדמו""ר מוהריי""צ. בכמה עמודים יש תיקונים בגוכי""ק הצמח צדק",,V,,,V,,V,,,V,,,,,267
1122,לד,"מלוקט - עלים נפרדים. וכולל תשובה אחת, קיצורים והערות לדרושים שונים בגוכתי""ק אדמו""ר הצ""צ * לפעמים מצויין בגוכתי""ק מהרש""ב להיכן שייכים ההערות, ונעתק ע""י רח""ל בהמפתח. 19*25 ס""מ. (יש בהם דפים בני גודל שונה). רלט דף.",V,,,,V,,V,,V,,,,,,266
1123,לד,"צילום מאמרי אדמו""ר הצ""צ בתחילתו כת""י ספר תניא פרקים כט-לה",,V,,,V,,V,,,,,,,,164
1124,לד,"מלוקט - עלים נפרדים. דרושים בגוכתי""ק אדמו""ר הצ""צ * דפים מא-רמא הונח בו גליון - קיצורים והערות לדרושי הצ""צ, בכתי""ק מהריי""צ,ונסמן שהם ל""מלוקט ח""ד""; כנראה הכוונה למס' זה.",V,,,,V,,V,,,V,,,,,136
1125,לד,"מלוקט - עלים נפרדים. דרושים בגוכתי""ק אדמו""ר הצ""צ * קכט דף. בכ""מ ציונים על המאמרים בגוכתי""ק הרש""ב.",V,,,,V,,V,,V,,,,,,114
1126,לד,"קונטרס בן 16 דף ממאמרי אדמו""ר הזקן כל מאמר מתחיל"" להבין"". בכת""י מעתיק, כנראה שנכתב בחייו. 11*15.5 ס""מ",,,V,,,,V,,,,,,,,18
1127,לד,"דרושים לס' במדבר בגוכתי""ק אדמו""ר הצ""צ * 18*24 ס""מ. שמב דף. הבוך נתפרד והוא בוך אחד עם מס'      .235 העתק מהבוך במס'                    .1060 קיצור מד""ה במדבר סיני",V,V,,,V,,V,,,,,,,,167
1128,לד,"""זהר ויחי נפתלי אילה"" (ע""ש התחלתו).דרושי אדמו""ר הזקן העתק מס' 617. קכג דף. נמצא רק המפתח. נסמן""                                .""6",,V,V,,,,V,,,,,,,,0
1129,,,,,,,,,,,,,,,,,0
1130,לד,"דרושי אדמו""ר מהר""ש * תרמא חלקו בגוכתי""ק. 16*23 ס""מ. רסג דף.",V,,,,,V,V,,,,,,,,240
1131,לד,"המשך מאמרי תרעב אדמו""ר מהרש""ב - חלק שלא נאמר. בכת""י הר""א מרזוב. במקומות אחדים הוגה ותוקן ע""י אדמו""ר מהריי""צ. 13*21 ס""מ. (176) דף.",,,,,,,V,,V,V,,,,,224
1132,לד,"צילום מחלק של המשך מאמרי תרעב אדמו""ר מוהרש""ב כת""י מעתיק. 2 עותקים.",,V,,,,,V,,V,,,,,,288
1133,לד,"""יהושע ישעי'"" (כ""נ על דף הראשון בכתי""ק הצ""צ). כולל רשימות על ספרים אלו מ: אדמו""ר הצ""צ * חלקו בגוכתי""ק. 19*2 ס""מ כב, רעו דף. השוה מס'                           .1150",V,,,,V,,,,,,,,,,306
1134,לד,"דרושי אדמו""ר מהר""ש * תרכז חלקו בגוכתי""ק. 21*27 ס""מ. (נכרכו בו דפים בני גודל שונה) ,(2) תלז דף.",V,,,,,V,V,,,,,,,,423
1135,לד,"בוך שנכתב ערך חורף תר (כ""נ בדף הראשון בכתי""ק הצ""צ). רובו ככולו בגוכתי""ק אדמו""ר הצ""צ * 18*24 ס""מ. (1),סו,קסה-קפו דף. המשכו בבוך מס'                     .1136 העתק ממנו בבוך מס'                 .2090 מתחיל: השמים מספרים",V,V,,,V,,,,,,,,,,164
1136,לד,"דרושי אדמו""ר הצ""צ * לס' שמות - פ' יתרו ואילך. בגוכתי""ק. 18*24 ס""מ. דפים: קפג-שלג. המשך מבוך מס'                      .1135 משה ידבר",V,,,,V,,V,,,,,,,,136
1137,לד,"דרושי אדמו""ר מהר""ש * ובסופו תשו' בענין נה""ב ונפש הבע""ח. גוכי"" בגוכתי""ק. 17.5*22 ס""מ. (1), לב דף. כנראה שנכתב בחיי הצ""צ. ו: א' אאמו""ר שי'. ז: ח""ש כ""ה.",V,,,,V,V,V,,,,,,,,24
1138,לד,"דרושים בגוכתי""ק אדמו""ר מהר""ש * תרלו 13*20.5 ס""מ. (2),תיג דף. מים רבים תרל""ו",V,,,,,V,V,,,,,,,,409
1139,לד,"דרושי הנחות הלל, הר""ה מפאריטש תריא-תריג בסופו: קונ' ההתפעלות. 12*19 ס""מ. (1),רלט דף. נסמן""                               .""22",,,,,,,V,,,,,,,V,248
1140,לד,"צילום מאמרים על כמה נרשם"" לאדי"" 2 עותקים.",,V,,,,,V,,,,,,,,169
1141,לד,"דרושים - חלקו עכ""פ - בגוכתי""ק אדמו""ר מהר""ש 12*19 ס""מ. יח דף.",V,,,,,V,V,,,,,,,,17
1142,לד,"""                        תרטו קן צפור"" (כ""נ ע""ג הכריכה בכתי""ק מהר""ש). והוא העתק מכתי""ק אדמו""ר הצ""צ (מס'                              .(1072 19*24 ס""מ. (2),שכז דף.",,V,,,V,V,,,,,,,,,314
1143,לד,"""חלק א"" (כן חרות על הכריכה, וכ""נ במפתח). נגלה ודא""ח מ: אדמו""ר הצ""צ בכת""י הר""ש סופר (העתק מס'         .(1096 17*22 ס""מ. (3), קה דף. ""חלק ג"" (מס' :(229 (3),ק דף.",,V,,,V,,,,,,,,,,99
1144,לד,"""אתהלך לאזניא"" - כ""נ בכ""מ ע""ש התחלתו. כולל דרושי אדמו""ר הזקן שנאמרו בלאזניא 19.5*26 ס""מ. (5),ערב דף. (דף א' במפתח בגוכתי""ק הצ""צ ואינו שייך לכאן. בדף האחרון (כמ""פ): שייך להר""ש באדמו""ר שליט""א מק""ק ליובאוויטש נסמן:""                               ""62 השוה מס'                            .386",V,,V,,V,,V,,,,,,,,275
1145,לד,"""פירוש המלות מספר בג""(כן חרות על הכריכה) והוא ספר פירוש המלות אדמו""ר הצ""צ שנדפס בס' דרך מצותיך ח""ב. כת""י מעתיק (העתק מס'                         .(1179 19*25 ס""מ. (1),קצא דף. נסמן""                               .""82",,V,,,V,,,,,,,,,,187
1146,לד,"דרושי אדמו""ר הזקן תקסב-תקסד עה""ג הגהות בכתי""ק אדמו""ר הצ""צ * 13*21 ס""מ. (5),רצו דף. נסמן""                                ""11 העתק בוך זה בכת""י הר""ש סופר במס'   .2082 העתק נוסף עם הגהות בכתי""ק המהר""ש והרש""ב במס' 2091. העתק נוסף:              .1239 תיאורו בסה""מ תקס""ד ע' שמב. להבין שרש ההפרש בין תורה למצוות",,V,V,,V,V,V,,V,,,,,,306
1147,לד,ראה תיאור במס'                     .1032,,,,,,,,,,,,,,,164
1148,לד,"דרושי אדמו""ר הזקן 18*24 ס""מ. (1),פב דף. נסמן""                               .""68 מדף יא ואילך - העתק מס'            .1161 מתחיל: אדכרו לי' יומא דתלגי",,V,V,,,,V,,,,,,,,83
1149,לד,"דרושי אדמו""ר הזקן ""אמרות צרופות, מאשר דרש מדי שבת ברבים או ביחיד משבת פ' תזריע תקסג עד פ' תבא שנת הנ""ל"" (כ""נ בכתי""ק הצ""צ בדף המגן הקדמי). עה""ג - הגהות בכתי""ק אדמו""ר הצ""צ * 18*22 ס""מ. (5),קנ דף. נסמן""                               .""37",,,V,,V,,V,,,,,,,,156
1150,לד,"דרושי אדמו""ר הצ""צ 19*26 ס""מ. (2),רסט דף. ע""ג הכריכה, בכתי""ק מהר""ש ""יהושע ישעי'"", וכנראה שהכריכה שייכת למס' 1133, ונכרכה כאן בטעות.",,,,,V,V,V,,,,,,,,263
1151,לד,"טעמי המצות ל: אדמו""ר הצ""צ הנדפס בס' דרך מצותיך המפתח בכתי""ק מהר""ש 18*26 ס""מ. (1),רו דף.",,,,,V,V,,,,,,,,,206
1152,לד,"""בראשית א ח""א"" - דרושים לפ' בראשית נח בגוכתי""ק אדמו""ר הצ""צ * 18.5*24 ס""מ. (5),קכז דף. ""בראשית א ח""ב"" - על פ' לך-תולדות (מס' :(1014 דפים קכח-שסג. ""בראשית א ח""ג"" - על פ' ויצא-ויחי (מס' :(1040 דפים שסד-תקלד. ""בראשית ב"" - ראה מס'               .1035",V,,,,V,,V,,,,,,,,147
1153,לד,"דרושים בגוכתי""ק אדמו""ר הצ""צ * בתחלתו מפתח לבוך זה, ולעוד בוך בכתי""ק מהר""ש (?), ודרוש בכת""י הר""ש סופר. 19*25 ס""מ. (6),קלב דף.",V,,,,V,V,V,,,,,,,,138
1154,לד,"דרושי אדמו""ר האמצעי ואחדים מ: אדמו""ר הצ""צ 18*24 ס""מ. (209) דף.",,,,V,V,,V,,,,,,,,218
1155,לד,"ה    חקירה אדמו""ר הצ""צ 17*21 ס""מ. (85) דף.",,,,,V,,,,,,,,,,91
1156,לד,"צילום מאמרי אדמו""ר הזקן תקסו ומקצת תקסז הנחות אדמו""ר האמצעי כת""י מעתיק עם הגהות בגוכתי""ק אדמו""ר הצ""צ* מספר"" ""85 מרשימת אדמו""ר מוהריי""צ",V,V,V,V,V,,V,,,V,,,,,302
1157,לד,"דרושי אדמו""ר הזקן על הכריכה בגוכתי""ק מהר""ש:"" ויחלום"" 18*22.5 ס""מ. שצג דף. מסומן""                               ""69",V,,V,,,V,V,,,,,,,,400
1158,לד,"דרושי אדמו""ר הצ""צ * כת""י מעתיקים. בסופו דפים אחדים בגוכתי""ק. 19*255 ס""מ. קצג דף. בתחלתו קונט' ההתפעלות.",V,,,,V,,V,,,,,,,,189
1159,לד,"""במדבר דברים"". דרושים בגוכתי""ק אדמו""ר הצ""צ * רוב הדרושים נכתבו בכ""י מעתיק (העתק מגוכתי""ק 1082. ודרושים אחדים נעתקו מגוכתי""ק 1127. (235 ומוגה בגוכתי""ק. 19*24 ס""מ. רכ-שצה דף. הבוך הוא בהמשך למס' 236 (שמות ויקרא ב'). צילום (דפים רפ-שצח) במס'            .861",V,V,,,V,,V,,,,,,,,181
1160,לד,"דרושי אדמו""ר הזקן ח""ב מס' אתהלך לאזניא (ראה כ""י     .(1144 מסומן:"" נו' 2 הנה כל הטעמים"" 12.5*17 ס""מ. דפים: א-עז. הדפים לט-עז היו משך זמן ברשותו של פרידמן מת""א וקצותם שרוף. צילום דפים א-לג: מס'                .928",,V,V,,,,V,,,,,,,,92
1161,לד,"דרושי אדמו""ר הזקן הנחות בגוכתי""ק אדמו""ר האמצעי * 11*18 ס""מ. (1),קג דף. על דף המגן הקדמי - בכתי""ק אדמו""ר מהריי""צ ""נומר 3 להבין ההג""ה בלק""א [ע""ש התחלתו]"" השוה מס'                           .1148",V,,V,V,,,V,,,V,,,,,89
1162,לד,"הגהות לתורה אור בגוכתי""ק אדמו""ר מהר""ש נדפסו ב: לקוטי תורה לג""פ בהם כמה דרושים מ: תרלח עלים נפרדים. 17*23.5 ס""מ. (36) דף.",V,,,,,V,V,,,,,,,,86
1163,לד,"צילומי כתי""ק אדמו""ר מוהרש""ב * בדבר נוסח שקבע הוד כ""ק אדמו""ר הזקן בסדור שו""ת בהלכות נדה בגוכתי""ק אדמו""ר מוהרש""ב ותשובה בענין טבילה לטומאה היוצא מגופו. כתי""ק אדמו""ר מוהרש""ב בעניני קבלה בשם מסילות חכמה על דף הקדמי רשם אדמו""ר מוהריי""צ: כנראה מתמונת האותיות נכתב בערך בשנות תרלט-תרמ מאמר חנוכה - בכת""י מעתיק. תרנט שיחה"" כל הדברים מתייחסים"" שמח""ת תרעד הנחה ממאמר תולדות תרע""ז - במכונת כתיבה. מאמר פדה בשלום -בכת""י מעתיק- י""ט כסלו תרעח רשימות דברי אדמו""ר מוהרש""ב בזמנים שונים. קונטרס העבודה, התפלה, עץ החיים.",V,,V,,,,V,,V,V,,,,,401
1164,כג,"""חי' על פרשיות התורה רדרשות למועדים / אב""ד דק""ק פה פראג ..בשם הגאון יונתן נר""ו (כ""נ בשולי ע' הראשון). כתיבה אשכנזית רהו רהוטה. 16*20 ס""מ. (37) דף. השוה                             .1183-4",,,,,,,,,,,,,,,35
1165,יז,"מלוקט - עלים נפרדים וכולל: (1 סגולות לחולה. ""(2 הספד על הגאון מו""ה יצחק שפירא בהרה""ג מיכאל ז""ל מאת חתנו"". (3 כת""י משו""ת ווייל, יעקב (31) דף.",,,,,,,,,,,,,,,28
1166,לד,"""ספר שלישי"" מאמרי אדמו""ר מהרש""ב שמות - תשא תרעח בגוכתי""ק אדמו""ר מהריי""צ * 13.5*20 ס""מ. ק-קמו דף.",V,,,,,,V,,V,V,,,,,50
1167,לד,"אגרות אדמו""ר מהרש""ב תרסז-תרסט וביאורים בחסידות דשנת תרעח בגוכתי""ק אדמו""ר מהריי""צ * 13*20 ס""מ.",V,,,,,,,,V,V,,,,,33
1168,לד,"מאמרים בודדים משנת תרפ-תרפא חלקם בגוכתי""ק אדמו""ר מהריי""צ * 15*21 ס""מ.",V,,,,,,V,,,V,,,,,112
1169,לד,"מאמרים בודדים משנת תרפד-תרפה חלקם בגוכתי""ק אדמו""ר מהריי""צ * 13*20 ס""מ.",V,,,,,,V,,,V,,,,,111
1170,לד,"דרושי אדמו""ר מהריי""צ * תרפו חלקם בגוכתי""ק 15*23 ס""מ.",V,,,,,,V,,,V,,,,,319
1171,לד,"דרושי אדמו""ר מהריי""צ * תרפז בגוכתי""ק 15*23 ס""מ. ועוד נוסף מאמר כתי""ק ד""ה כי תשא תרפט",V,,,,,,V,,,V,,,,,201
1172,לד,"מאמרים בודדים משנת תרפח בגוכתי""ק אדמו""ר מהריי""צ * 14*22 ס""מ.",V,,,,,,V,,,V,,,,,44
1173,לד,"צילום הנחות מאמרי אדמו""ר מוהרש""ב בגוכתי""ק אדמו""ר מוהריי""צ* תרעט ליל ב' דר""ה - ש""פ מקץ",V,V,,,,,V,,V,V,,,,,114
1174,לד,"דרושי אדמו""ר הזקן תקנז על הכריכה - בכתי""ק מהר""ש:"" ויקרא כו' המסות לאזניא תקנ""ז"". בדף המגן הקדמי מבפנים (בכתי""ק מהריי""צ): נומר 1 ויקרא תקנ""ז"". בכ""מ נרשם ע""י אדמו""ר מהריי""צ שנדפס בלקו""ת. 11*19 ס""מ. (2), קעה דף. בשער: ספר לקוטי תורה מהרב..ו'ה'ד'ר'ת'  = קלעצק                    תרטו דברי צבי הירש בל""א המנוח מו""ה יעקב.",,,V,,,V,V,,,V,,,,,104
1175,טו,"מקרא קודש עם זבד טוב למועדים, והוא ביאור חדש על הלכות יו""ט שחיבר הגאון.. מייזליש, רפאל מחארחוב עלה ברעיוני..בשולי היריעה כעין הגהות.. מועד דוד 21*25 ס""מ. (47) דף. באוסף ווארשא נסמן -                 .469",,,,,,,,,,,,,,,48
1176,לד,"דרושי אדמו""ר מהר""ש * תרלב בגוכתי""ק. 18*23 ס""מ. (3),נז דף. המשכו מס'    .1106",V,,,,,V,V,,,,,,,,77
1177,לד,"בוך"" חמש מגילות"" (כ""נ בכ""מ). כולל רשימות לח""מ בגוכתי""ק אדמו""ר הצ""צ * 19*24 ס""מ. שמט דף. העתקו -                            .1181",V,V,,,V,,,,,,,,,,226
1178,לד,"בוך"" כל המשמח"" (כ""נ בכ""מ). דרושי אדמו""ר הצ""צ * בגוכתי""ק. 19*24 ס""מ. שס דף. השוה מס'                             431",V,,,,V,,V,,,,,,,,251
1179,לד,"בוך"" מספר בג"" (כ""נ בכ""מ). כולל: פירוש המלות ה    חקירה אדמו""ר הצ""צ * בגוכתי""ק. 19*25 ס""מ. הבוך נתפרד (כנראה בעת הדפסת דרמ""צ ח""ב), הדפים אינם מסומנים, ונצטרפו הדפים ע""פ מס' - 1145 שהוא העתק בוך זה.",V,V,,,V,,,,,,,,,,215
1180,לד,"בוך"" תרט""ז"" (כ""נ בכ""מ), כולל דרושי שנת תרטז שנכתבו בגוכתי""ק אדמו""ר הצ""צ * 19*24 ס""מ. שכה דף.",V,,,,V,,V,,,,,,,,212
1181,לד,"""חמש מגילות"" (כ""נ ע""ג הכריכה בגוכתי""ק מהר""ש). כולל רשימות לח""מ מ: אדמו""ר הצ""צ - העתק מס'                         .1177 11*24 ס""מ. (4),רפא דף.",V,V,,,V,V,,,,,,,,,280
1182,ו,"קוידער, שמואל יהודה ליב אוטוגרף. בשמעתין דמצות צריכות כונה לר""ה שנת תקנד 24*38 ס""מ. 4 דף. באוסף ווארשא נסמן                   .915",,,,,,,,,,,,,,,7
1183,כב,"דרושים חי' והסברות מלוקטים מאדמ""ו הגאון יהונתן אב""ד המבורג ועוד. 20*34 ס""מ. דפים: יא-קנ (חסרים ביניהם דפים רבים). השוה: 1164,                        .1184 באוסף ווארשא נסמן -                  .44",,,,,,,V,,,,,,,,63
1184,כב,"לקוטי דרושים על התורה, מהגאונים: יהונתן הורוויץ, יצחק הלוי ברודא, אברהם ועוד. 19*23 ס""מ. 98 דף. באוסף ווארשא נסמן -                 .171 השוה:                         .1183,1164",,,,,,,V,,,,,,,,96
1185,לד,"הנחות מדרושי אדמו""ר מהר""ש מהשנים: תרלט-תרמ בסופו: קונ' העבודה אדמו""ר מהרש""ב 11*17 ס""מ. (1),ריא,(25) דף.",,,,,,V,V,,V,,,,,,211
1186,לד,"דרושי אדמו""ר מהר""ש תרכו-תרכח בכתב יד מעתיק. ועמו קיצור לקו""א להצ""צ בסוף מכתב ה""ר הלל מפאריטש בענין סטראשעלא 13*20 ס""מ. 74 דף.",,,,,V,V,V,,,,,,,V,89
1187,סד,"דרשות לפרשיות ומועדים בכת""י בלתי קריא, על ניר בלוי ומתפורר. משנות התר""נ 10*35 ס""מ. (250) דף. באוסף ווארשא נסמן -                .1203",,,,,,,,,,,,,,,571
1188,ל,"עץ חיים ויטאל, חיים כתיבה אשכנזית בינונית ומרובעת - מעוטרת ומקושטת. על ידי הסופר והמצייר ישראל ב""ר אשר מק""ק סעלץ אינו מסודר ע""ס הע""ח. 24*37 ס""מ. (16),קמ,(14) דף. באוסף ווארשא נסמן -                .1212",,,,,,,,,,,,,,,177
1189,לד,"צילום מאמרי אדמו""ר מוהרש""ב בדף הקדמי רשום בכתי""ק אדמו""ר מוהריי""צ: הנחות התלמיד ר' אברהם ברוך פייזנער מקלימוביטש תרס-תרסא ומקצת תרסב",,V,,,,,V,,V,V,,,,,246
1190,לד,"צילום הנחות מאמרי אדמו""ר מוהרש""ב ברובם בגוכתי""ק אדמו""ר מוהריי""צ* ובחלקם בכת""י ר' שמואל סופר ועוד, משנת תרסט כולל כמה רשימות שיחות.",V,V,,,,,V,,V,V,,,,,207
1191,טו,"""ספר זרע אנשים ובו זר""ע פסקים וענינים.. חכמי ישראל.. נאם החיד""א ס""ט""."" ובכסף מלא קניתיו..דוד .. ס""ט"". חלקו נדפס בס' זרע אנשים. כתיבה איטלקית רהוטה. 21*28.5 ס""מ. 363 דף. באוסף ווארשא נסמן -                 .231",,,,,,,,,,,,,,,361
1192,כז,"שפירא, קלונימוס קלמיש ס' התקנות ל""חברת בני מחשבה טובה"", וחותם ""קלונימוס קלמיש בהה""צ מוהר""א זצללה""ה חתן הה""צ מוהרי""מ זצללה""ה"" נכתב במכונת כתיבה. 23*29 ס""מ. (13) דף. באוסף ווארשא נסמן -                 .407 הנ""ל הוא בעמח""ס הכשרת האברכים.",,,,,,,,,,,,,,,14
1193,לא,"קבלה. 19.5*29 ס""מ. סז דף. כתיבה ספרדית רהוטה, עם ציורים רבים.",,,,,,,,,,,,,,,64
1194,לד,"""מלוקט - כתבי האמצעי - פדה בשלום"" והוא קובץ עלים נפרדים בגוכתי""ק אדמו""ר האמצעי * ודרוש הראשון מתחיל פדה בשלום 20*24 ס""מ. רב דף. נסמן""                               .""45",V,,,V,,,V,,,,,,,,216
1195,לד,"""אשר ברא"" (כ""נ בכ""מ ע""ש התחלתו). כולל דרושי אדמו""ר הזקן הנחות אדמו""ר האמצעי * בגוכתי""ק. 12.5*20 ס""מ. קח דף. נסמן""                               .""59",V,,V,V,,,V,,,,,,,,49
1196,לד,"דרושי אדמו""ר הזקן משנת תקסז בגוכתי""ק אדמו""ר האמצעי * עה""ג הגהות בגוכתי""ק אדמו""ר הצ""צ * 18*22 ס""מ. צט דף (ע""פ המפתח הי' בו לפחות רכ דף). מסומן""                              .""41",V,,V,V,V,,V,,,,,,,,117
1197,לד,"פירוש המלות אדמו""ר האמצעי * בגוכתי""ק. נמצאים כ30- עלים נפרדים. אמרי בינה חלק שלישי פרקים קלא-קסו. 18 דפים נפרדים.",V,,,V,,,,,,,,,,,71
1198,ד,"מלאכת שלמה עדני, שלמה ב""ר ישועה פי' על המשניות. כתיבה ספרדית רהוטה. מטופס זה נלקט מה שנדפס בהמשניות ונמצאים בו סימני המדפיס מה להעתיק. 21*31 ס""מ. בשער:"" קניתיו..חיים יוסף דוד אזולאי ס""ט"" באוסף ווארשא נסמנו -                .267 ח""א: 200 דף.",,,,,,,,,,,,,,,145
1199,ד,"מלאכת שלמה עדני, שלמה ב""ר ישועה פי' על המשניות. כתיבה ספרדית רהוטה. מטופס זה נלקט מה שנדפס בהמשניות ונמצאים בו סימני המדפיס מה להעתיק. 21*31 ס""מ. בשער:"" קניתיו..חיים יוסף דוד אזולאי ס""ט"" באוסף ווארשא נסמנו -                .267 ח""ב: 186 דף. ח""ג - בביה""ס הלאומי בירושלים.",,,,,,,,,,,,,,,243
