מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
40,לד,"דרושי אדמו""ר הצ""צ קב,א: לזכרון רשומי דברים ששמעתי מפ""ק תרי""ז קמו,א: תבר""ך קנב,א: תו' אדמו""ר שליט""א שנת תרכ""ג ובכמה מקומות: הנחת הר""ה שליט""א - הוא הלל, הר""ה מפאריטש 17*22 ס""מ.,(2) רכה דף. בהמפתח:"" ועיין מזה בב[יכל] דתקפ""ט-תק""צ מה ששמעתי מפ""ק שליט""א אז"" - הכוונה למס'             .13 רז,א: מועתק ממכתב ז""פ [-זלאטאפאליע] ששלחו לכ""ק הסבא קדישא נ""ע משפאליע ע""ד הענין שנסע כ""ק אדמו""ר הזקן נ""ע לפה ברדיטשוב [ראה מס' 13, שבעל הבוך מבא""ד] וסיבותינו בשנת תק""ע, ומה שהשיב הסבא קדישא נ""ע להם.",,,V,,V,,V,,,,,,,V,227
41,לד,"דרושי אדמו""ר הצ""צ על ספר במדבר (העתק מבוך במדבר 1127].            ([235 19*25 ס""מ. (2), שלב דף",,V,,,V,,V,,,,,,,,344
42,לד,"מלוקט - דרושי אדמו""ר הזקן אדמו""ר הצ""צ ועוד, סיפורים ופתגמים. 18*22 ס""מ. (5), קצז דף.",,,V,,V,,V,,,,,,,,194
43,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. (112) דף. בסופו: מכתב יהודה ליב, מהרי""ל מיאנאוויטש אל ה""ר אהרן מסטראשעלע.",,,,,V,,V,,,,,,V,,110
44,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. (2), שמא דף.",,,,,V,,V,,,,,,,,341
45,לד,"ע""ג הכריכה:באור התפלה ע""ד הקבלה והחסידות כולל: חלק ראשון, הנחות בכי""ק ר' משה בן אדמו""ר הזקן מחמשה מאמרים מחדש תשרי תקסז בדפים א-ד,א. ט-יא. חלק שני: ביאורים על התפלה בגוכתי""ק אדמו""ר האמצעי * כו דף.",V,,V,V,,,V,,,,,,,,27
46,,,,,,,,,,,,,,,,,0
47,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ * 18*24 ס""מ. (2), ריט דף. אחר דף נז: (שייך לבוך (1039 כתי""ק הצ""צ",,,V,,V,,V,,,,,,,,238
48,לד,"דרושים לס' שמות אדמו""ר הצ""צ 18*26 ס""מ. (4), תלט דף.",,,,,V,,V,,,,,,,,441
49,לד,"דרושי אדמו""ר הצ""צ בסופו קיצורים והערות הצ""צ לתניא. 17*22 ס""מ. (2),תיח דף.",,,,,V,,V,,,,,,,,398
